,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,NAICS Code Description,Neighborhoods - Analysis Boundaries,Business Location
0,Yong Kee Co Inc,732 Jackson St,San Francisco,CA,94133,5/31/2013,,5/31/2013,,Real Estate and Rental and Leasing Services,Chinatown,[37.795982 -122.40721]
1,3615 19th St Apts,3615 19th St,San Francisco,CA,94110,10/1/1968,,4/22/1977,,Real Estate and Rental and Leasing Services,Mission,[37.75992 -122.423996]
2,333 31st Av Apts,333 31st Ave,San Francisco,CA,94121,7/20/1973,,7/20/1973,,Real Estate and Rental and Leasing Services,Outer Richmond,[37.78295 -122.491425]
3,Dr Oscar Allado Saddul-Md,2460 Mission St Ste 215,San Francisco,CA,94110,5/15/1982,,5/15/1982,,Professional Scientific and Technical Services,Mission,[37.757675 -122.419]
4,Bakesale Betty/hot Dog Bill East 600,1 Warriors Way Lvl 600 East,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
5,West Portable Bar 600,1 Warriors Way Lvl 600 West,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
6,South West Keg Cooler Ground,1 Warriors Way Event Lvl South West,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
7,Hot Dog Bills North 300,1 Warriors Way Lvl 300 North,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
8,Club Kitchen,1 Warriors Way Event Lvl South,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
9,Dugstad & Associates,222 Columbus Ave,San Francisco,CA,94133,7/1/1982,,1/1/2017,,Financial Services,North Beach,[37.797325 -122.40584]
10,Toft Wolff Farrow Inc.,649 Mission 5th Flr St,San Francisco,CA,94105,10/1/1987,12/31/2018,11/1/2017,12/31/2018,Professional Scientific and Technical Services,Financial District/South Beach,[37.787113 -122.40088]
11,Hot Dog Bills South 300,1 Warriors Way Lvl 300 South,San Francisco,CA,94158,7/1/1987,,5/28/2019,,Food Services,Mission Bay,[37.768967 -122.386406]
12,Ann Taylor Store #1176,3251 20th Ave Ste 210,San Francisco,CA,94132,1/1/1999,12/22/2020,11/4/2011,12/22/2020,Retail Trade,Lakeshore,[37.729206 -122.47604]
13,Sawai Koto Usa,149 Noe St,San Francisco,CA,94114,1/1/2006,,5/22/2007,5/12/2014,Arts Entertainment and Recreation,Castro/Upper Market,[37.766754 -122.433304]
14,Potrero Signs,1040 Mariposa St,San Francisco,CA,94107,8/20/2002,12/31/2020,2/1/2013,12/31/2020,Professional Scientific and Technical Services,Potrero Hill,[37.764023 -122.39415]
15,Planisware Usa Inc,300 Montgomery St Ste 930,San Francisco,CA,94104,12/31/2013,,2/1/2014,1/1/2021,Professional Scientific and Technical Services,Financial District/South Beach,[37.791992 -122.40256]
16,Law Offices Of Glen M Belovsky,345 Franklin St,San Francisco,CA,94102,7/5/2004,11/30/2019,7/5/2004,11/30/2019,Professional Scientific and Technical Services,Hayes Valley,[37.777702 -122.42149]
17,Buffalo Whole Food And Grain C,598 Castro St,San Francisco,CA,94114,5/22/2010,2/1/2021,5/22/2010,2/1/2021,Food Services,Castro/Upper Market,[37.759377 -122.4349]
18,The Inn At The Union Square,440 Post St,San Francisco,CA,94102,9/1/2004,12/1/2020,10/1/2004,12/1/2020,Accommodations,Nob Hill,[37.78823 -122.4091]
19,E & E Designs,145 Laurel St.#4,San Francisco,CA,94118,5/26/2005,5/4/2017,5/26/2005,5/4/2017,,Presidio Heights,[37.78999 -122.45078]
20,Aurelio Mucci,870 Market St Ste 865,San Francisco,CA,94102,1/3/2007,,5/1/2019,9/30/2019,,Financial District/South Beach,[37.7849 -122.40703]
21,Aurelio Mucci,210 Post St Ste 1013,San Francisco,CA,94108,1/3/2007,,10/1/2011,5/1/2019,,Financial District/South Beach,[37.78869 -122.40547]
22,Isec Partners Inc,123 Mission St Ste 1020,San Francisco,CA,94105,1/1/2007,,10/1/2011,3/1/2020,Professional Scientific and Technical Services,Financial District/South Beach,[37.792328 -122.39428]
23,Duboce 100,165 Duboce Ave,San Francisco,CA,94103,10/1/2000,,1/22/2010,,Real Estate and Rental and Leasing Services,Mission,[37.76976 -122.423706]
24,Handy Deli,1815 Irving St,San Francisco,CA,94122,3/1/2007,12/31/2019,3/1/2007,12/31/2019,Retail Trade,Sunset/Parkside,[37.763523 -122.4774]
25,Custom Construction Ent. Inc.,190 Mendell St,San Francisco,CA,94124,2/8/2007,,11/12/2020,,Construction,Bayview Hunters Point,[37.74253 -122.38384]
26,Gold Coast Grill & Catering,1650 Holloway Ave C134,San Francisco,CA,94132,11/1/2010,,11/1/2010,,Food Services,Lakeshore,[37.720913 -122.47818]
27,Atlas Peak Capital Mngment Llc,400 Montgomery St Ste 900,San Francisco,CA,94104,8/8/2011,,8/8/2011,2/28/2020,Financial Services,Financial District/South Beach,[37.792946 -122.40275]
28,Ncc Group Domain Services Inc,123 Mission St Ste 900,San Francisco,CA,94105,3/8/2012,,9/13/2019,3/1/2020,Professional Scientific and Technical Services,Financial District/South Beach,[37.792328 -122.39428]
29,Artemis Internet Inc,123 Mission St Ste 1020,San Francisco,CA,94105,3/8/2012,,3/8/2012,9/13/2019,Professional Scientific and Technical Services,Financial District/South Beach,[37.792328 -122.39428]
30,Lenos Software,142 Sansome Street 2nd Flr,San Francisco,CA,94104,4/1/2007,6/30/2018,8/1/2012,6/30/2018,,Financial District/South Beach,[37.79159 -122.400795]
31,Alan M Chong,350 Parnassus Ave,San Francisco,CA,94117,8/8/2012,,8/8/2012,,Professional Scientific and Technical Services,Inner Sunset,[37.764065 -122.4559]
32,Law Office Of Robert B. Jobe,100 Bush St,San Francisco,CA,94104,4/25/2013,,4/25/2013,,Professional Scientific and Technical Services,Financial District/South Beach,[37.79134 -122.39969]
33,Vacation Rental,2634 23rd Ave San Francisco,San Francisco,CA,94116,1/1/2011,10/5/2014,1/1/2011,10/5/2014,,Sunset/Parkside,[37.73846 -122.479645]
34,Sergio F Azzolino Dc,1545 Broadway Ground Flr,San Francisco,CA,94109,4/8/1996,,12/8/2004,,Professional Scientific and Technical Services,Russian Hill,[37.795822 -122.422516]
35,Vision Academy Optometry,3401 Mission St,San Francisco,CA,94110,4/1/2011,,4/1/2011,1/13/2021,Private Education and Health Services,Bernal Heights,[37.742104 -122.422104]
36,Jim Oakley Mft,538 Hayes St,San Francisco,CA,94102,8/20/2011,,9/20/2018,12/31/2020,Certain Services,Hayes Valley,[37.776623 -122.425224]
37,Breather,2 Harrison St 168-A,San Francisco,CA,94105,7/1/2014,,8/26/2015,9/25/2017,Real Estate and Rental and Leasing Services,Financial District/South Beach,[37.78953 -122.38859]
38,Mountain Up Llc,1559 Sloat Blvd #491,San Francisco,CA,94132,8/11/2015,,12/28/2015,,Arts Entertainment and Recreation,Sunset/Parkside,[37.733974 -122.48982]
39,Mountain Up Llc,357 Grove St,San Francisco,CA,94102,8/11/2015,,8/11/2015,12/27/2015,Arts Entertainment and Recreation,Hayes Valley,[37.777878 -122.42244]
40,Wall Road Vineyard Llc,1 Market St Spear Tower 4150,San Francisco,CA,94105,5/7/2013,6/30/2019,5/7/2013,6/30/2019,,Financial District/South Beach,[37.794384 -122.39474]
41,The Trade Desk Inc.,731 Sansome St,San Francisco,CA,94111,8/13/2014,,2/23/2017,,Professional Scientific and Technical Services,Chinatown,[37.797085 -122.401985]
42,Amore Hair Salon,1690 Valencia St,San Francisco,CA,94110,2/4/2016,,2/4/2016,1/16/2021,Utilities,Bernal Heights,[37.74565 -122.420074]
43,Amy Ahlstrom,1246 Folsom St,San Francisco,CA,94103,7/15/2016,6/30/2020,11/3/2017,6/30/2020,Arts Entertainment and Recreation,South of Market,[37.774433 -122.41082]
44,Amy Ahlstrom,1777 Yosemite Ave,San Francisco,CA,94124,7/15/2016,6/30/2020,7/15/2016,6/30/2020,Arts Entertainment and Recreation,Bayview Hunters Point,[37.728703 -122.39498]
45,Poultri Suite,424 Clay Street Lower Level,San Francisco,CA,94111,4/11/2016,6/30/2019,4/11/2016,6/30/2019,Administrative and Support Services,Chinatown,[37.794964 -122.400665]
46,Roll Out Shelves,1799 10th Ave,San Francisco,CA,94122,9/1/2003,,4/7/2015,1/1/2018,Retail Trade,Inner Sunset,[37.754757 -122.466774]
47,Pottery Barn,151 Union St,San Francisco,CA,94111,12/15/2016,,12/15/2016,2/2/2017,Professional Scientific and Technical Services,Financial District/South Beach,[37.801273 -122.402306]
48,Avalon Hayes Valley,325 Octavia St,San Francisco,CA,94102,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Hayes Valley,[37.775127 -122.42439]
49,Mission Bay North,255 King St,San Francisco,CA,94107,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Mission Bay,[37.777035 -122.39289]
50,Mission Bay 3,383 King St,San Francisco,CA,94158,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Mission Bay,[37.774776 -122.395744]
51,Avalon At Nob Hill,965 Sutter St,San Francisco,CA,94109,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Nob Hill,[37.788227 -122.416214]
52,Avalon Sunset Towers,6 Locksley St,San Francisco,CA,94122,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Inner Sunset,[37.759583 -122.463005]
53,Eaves Diamond Heights,5235 Diamond Heights Blvd,San Francisco,CA,94131,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Noe Valley,[37.744675 -122.439255]
54,Ava Nob Hill,840 Post Rd,San Francisco,CA,94109,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Nob Hill,[37.78739 -122.415695]
55,Avlon Mission Bay North (Bldg 0t1),255 King St,San Francisco,CA,94107,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Mission Bay,[37.777035 -122.39289]
56,Avalon At Mission Bay Phase Iii (Bldg 00m),353 King St,San Francisco,CA,94158,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Mission Bay,[37.7753 -122.39509]
57,Avalon At Mission Bay Phase Iii (Bldg 00l),353 King St,San Francisco,CA,94158,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Mission Bay,[37.7753 -122.39509]
58,Avalon Ocean Avenue,1150 Ocean Ave,San Francisco,CA,94112,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,West of Twin Peaks,[37.723747 -122.455215]
59,Avalon Hayes Valley,400 Laguna St,San Francisco,CA,94102,1/1/2014,,1/1/2014,,Real Estate and Rental and Leasing Services,Hayes Valley,[37.774693 -122.42587]
60,San Francisco Vein And Vascular Institute Llc,1 1 Daniel Burnham Ct Ste 205c,San Francisco,CA,94109,10/15/2015,,10/15/2015,,Real Estate and Rental and Leasing Services,Western Addition,[37.78702 -122.421875]
61,Fotile -1,303 12th Ave,San Francisco,CA,94118,3/14/2017,,3/14/2017,,Retail Trade,Inner Richmond,[37.782524 -122.47087]
62,Coderpad Inc.,995 Market St 225,San Francisco,CA,94103,7/1/2015,,7/1/2015,,Professional Scientific and Technical Services,South of Market,[37.782307 -122.41007]
63,Mindmaze,535 Mission Street 14th Floor,San Francisco,CA,94105,5/2/2016,8/31/2020,5/2/2016,10/1/2017,,Financial District/South Beach,[37.789047 -122.39843]
64,Meranda Dry Cleaning,1364 Church St,San Francisco,CA,94114,9/10/2013,1/1/2021,9/10/2013,10/31/2014,,Noe Valley,[37.749023 -122.42721]
65,Ames Alley Press,1559 Sloat Blvd #173,San Francisco,CA,94132,1/27/2014,12/31/2020,1/27/2014,12/31/2020,,Sunset/Parkside,[37.733974 -122.48982]
66,Tef-Hobstetter Jv,1420 Sutter St 2nd,San Francisco,CA,94109,8/7/2017,,8/7/2017,,Professional Scientific and Technical Services,Western Addition,[37.787315 -122.42381]
67,Porcelanosa Usa,25 Division Street St Ste 113,San Francisco,CA,94103,1/1/2018,,1/1/2018,12/30/2019,Retail Trade,Mission Bay,[37.769825 -122.4026]
68,Cintoo Us Inc.,490 Post St Ste 640,San Francisco,CA,94102,8/20/2018,8/6/2019,8/20/2018,8/6/2019,Information,Nob Hill,[37.78814 -122.409836]
69,Banchory Llc,3829 20th St,San Francisco,CA,94114,4/3/2020,12/31/2020,4/3/2020,12/31/2020,Professional Scientific and Technical Services,Castro/Upper Market,[37.758156 -122.42647]
70,Jp Ventures Llc,1755 Filbert Street  1d,San Francisco,CA,94123,1/1/2019,,1/1/2019,2/10/2021,Professional Scientific and Technical Services,Marina,[37.798927 -122.428345]
71,Rachel Malchow Architect Inc.,632 Oak St,San Francisco,CA,94117,6/13/2016,,6/13/2016,,Professional Scientific and Technical Services,Hayes Valley,[37.774136 -122.42976]
72,Noo24sf,3977 24th Street St,San Francisco,CA,94114,1/4/2021,,1/4/2021,,Retail Trade,Noe Valley,[37.751446 -122.43131]
73,Uvula Llc,2171 12th Ave,San Francisco,CA,94116,9/25/2019,,9/25/2019,,Arts Entertainment and Recreation,West of Twin Peaks,[37.74763 -122.46842]
74,Calyks,1122 Tennessee St #3,San Francisco,CA,94107,7/15/2015,6/30/2016,7/15/2015,6/30/2016,,Potrero Hill,[37.75749 -122.389244]
75,Alexandra Polk,25 Rausch St,San Francisco,CA,94103,5/20/2015,5/20/2015,5/20/2015,5/20/2015,,South of Market,[37.77678 -122.41006]
76,Gabrielle Alexandria Craig,885 Clayton St,San Francisco,CA,94117,2/10/2021,,2/10/2021,,,Haight Ashbury,[37.76544 -122.44773]
77,Lala Ventures,36 Scotia Ave,San Francisco,CA,94124,2/10/2021,,2/10/2021,,Retail Trade,Bayview Hunters Point,[37.733986 -122.40172]
78,Silver Brucia,535 Stockton St Apt 31,San Francisco,CA,94108,2/10/2021,,2/10/2021,,Professional Scientific and Technical Services,Nob Hill,[37.790558 -122.4072]
79,Ncc Group Escrow Associates Llc,650 California St Ste 2950,San Francisco,CA,94108,1/1/2020,,1/1/2020,,Professional Scientific and Technical Services,Chinatown,[37.79255 -122.40538]
80,Albi,555 Bartlett  411,San Francisco,CA,94110,1/6/2021,,1/6/2021,,Food Services,Mission,[37.748547 -122.419174]
81,Jcn Interests Llc,578 19th Ave,San Francisco,CA,94121,10/21/2020,,10/21/2020,,Real Estate and Rental and Leasing Services,Outer Richmond,[37.77703 -122.47803]
82,Happy Rhinos Corporation,1711 Mcallister St,San Francisco,CA,94115,1/30/2020,,1/30/2020,,Information,Western Addition,[37.777527 -122.44028]
83,Mandoo Club,1539 41 Ave,San Francisco,CA,94122,2/1/2021,,2/1/2021,,Private Education and Health Services,Sunset/Parkside,[37.75805 -122.50042]
84,C23 Treasure Island 048 Holdings Llc,1 Sansome St 2070,San Francisco,CA,94104,2/11/2021,,2/11/2021,,Real Estate and Rental and Leasing Services,Financial District/South Beach,[37.790333 -122.400604]
85,191 Rey St,191 Rey St,San Francisco,CA,94134,1/1/2021,,1/1/2021,,Accommodations,Visitacion Valley,[37.71106 -122.41216]
86,Rosales Painting,2108 Folsom St Unit 4,San Francisco,CA,94110,1/1/2018,,1/1/2018,,Construction,Mission,[37.76349 -122.41517]
87,B1 Treasure Island 048 Holdings Llc,1 Sansome St 2070,San Francisco,CA,94104,2/11/2021,,2/11/2021,,Real Estate and Rental and Leasing Services,Financial District/South Beach,[37.790333 -122.400604]
88,Payment Software Company Inc.,650 California St Ste 2950,San Francisco,CA,94108,1/1/2020,,1/1/2020,,Professional Scientific and Technical Services,Chinatown,[37.79255 -122.40538]
89,Atalaya Tech Inc.,1666 Grove St,San Francisco,CA,94117,8/1/2019,,8/1/2019,,Professional Scientific and Technical Services,Lone Mountain/USF,[37.775185 -122.44402]
90,Alexander Gregor,63 Prospect Ave,San Francisco,CA,94110,2/9/2021,,2/9/2021,,Professional Scientific and Technical Services,Bernal Heights,[37.744255 -122.418144]
91,Internos Wine Cafe And Bar,3240 Geary Blvd,San Francisco,CA,94118,9/1/2017,3/15/2020,9/1/2017,3/15/2020,Retail Trade,Presidio Heights,[37.781765 -122.453606]
92,Davin Skonberg,601 Van Ness Ave.  1127,San Francisco,CA,94102,2/1/2021,,2/1/2021,,,Western Addition,[37.78108 -122.42054]
93,Quart Management Consulting,223 Monterey Blvd,San Francisco,CA,94131,2/9/2021,,2/9/2021,,Professional Scientific and Technical Services,West of Twin Peaks,[37.731506 -122.44031]
94,Hada Design,1539 41 Ave,San Francisco,CA,94122,2/1/2021,,2/1/2021,,Professional Scientific and Technical Services,Sunset/Parkside,[37.75805 -122.50042]
95,Eq-Loan Inc,2021 Fillmore St 1106,San Francisco,CA,94115,2/10/2021,,2/10/2021,,Real Estate and Rental and Leasing Services,Pacific Heights,[37.788193 -122.43373]
96,Mason Street,1117 Mason St,San Francisco,CA,94108,2/10/2021,,2/10/2021,,Accommodations,Nob Hill,[37.79384 -122.41126]
97,Grace Uvezian,2433 Franklin Street  Apt 4,San Francisco,CA,94123,2/1/2021,,2/1/2021,,Professional Scientific and Technical Services,Marina,[37.79681 -122.425354]
98,Myron Daws Crossfit Coaching And Nutritional Adviser,831 Gonzalez Dr,San Francisco,CA,94132,2/1/2021,,2/1/2021,,Private Education and Health Services,Lakeshore,[37.71752 -122.48209]
99,Oro Duboce,435 Duboce Ave,San Francisco,CA,94117,1/15/2018,,1/1/2019,,,Castro/Upper Market,[37.769386 -122.42979]